blueTeamTag,redTeamTag,gamelength,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp,Result
10,6,40,32,25,67,46,103,24,37,121,8,106,1
6,10,29,93,36,59,8,106,34,37,67,46,4,0
9,1,33,34,76,49,58,103,110,35,59,48,61,1
1,9,44,35,76,116,46,103,24,85,49,58,106,1
9,1,30,24,85,67,46,103,35,36,112,58,49,1
8,5,38,24,85,104,46,49,34,25,67,97,4,1
5,8,41,32,35,122,63,106,34,56,49,46,11,1
8,5,51,24,25,67,58,110,34,85,122,97,103,1
10,14,39,32,36,67,58,103,34,25,62,97,49,1
14,10,34,24,76,116,97,110,34,25,122,58,4,1
10,14,54,34,25,67,46,103,89,36,62,97,110,0
3,11,43,34,85,104,8,106,93,35,121,46,110,0
11,3,29,110,35,121,8,103,93,85,102,97,49,1
14,1,37,68,35,121,97,110,24,85,62,8,103,0
1,14,39,35,36,116,8,103,24,85,121,97,73,0
14,1,30,24,35,116,97,49,93,85,62,58,103,1
5,3,41,93,35,67,63,106,34,25,121,46,110,1
3,5,27,32,85,59,8,11,24,35,116,27,106,1
5,3,33,32,25,49,63,108,93,85,112,27,11,0
12,6,69,110,35,121,46,103,93,60,59,97,4,1
6,12,58,67,60,62,63,106,24,76,6,46,110,1
12,6,39,110,35,121,46,103,93,37,62,97,4,1
10,11,32,32,85,101,46,103,24,76,67,8,110,0
11,10,32,32,25,49,8,103,24,76,2,46,11,1
8,3,39,34,35,122,27,110,93,37,49,8,106,1
3,8,39,32,85,112,46,4,34,35,133,8,110,0
1,11,33,24,25,112,8,108,32,35,81,46,49,0
11,1,41,24,35,49,46,110,32,85,112,8,11,1
12,9,41,32,35,49,46,4,34,85,67,97,103,0
9,12,30,24,37,49,97,103,34,35,122,46,4,1
6,5,56,32,35,62,97,4,24,85,104,8,103,1
5,6,40,24,85,104,63,4,34,35,122,27,110,1
6,5,35,32,85,62,46,103,24,35,49,63,4,1
8,14,44,93,35,9,97,110,68,85,122,8,103,1
14,8,35,93,85,122,97,11,110,35,9,46,106,0
6,1,36,68,56,90,63,110,24,25,19,97,14,1
1,6,46,35,76,64,97,4,68,36,10,63,14,0
6,12,46,82,36,62,63,110,68,56,133,97,4,0
6,12,61,82,76,10,63,110,68,36,62,97,103,1
12,8,45,68,36,62,63,4,30,76,116,97,110,1
8,12,30,68,76,19,48,4,110,25,133,97,103,0
12,8,28,68,56,24,97,110,75,36,19,63,14,1
11,8,47,82,36,102,8,67,68,25,90,27,70,0
8,11,45,29,85,90,116,103,82,60,17,8,11,1
9,14,34,95,87,104,46,70,82,60,121,27,134,1
14,9,35,16,85,80,46,134,44,25,24,116,70,1
9,14,42,75,60,24,8,49,68,55,19,27,134,0
6,12,45,57,60,17,46,103,68,55,80,8,134,0
12,6,40,82,87,52,132,134,95,60,62,46,103,1
10,2,40,96,87,80,46,75,45,25,102,8,108,1
2,10,30,45,85,59,15,134,75,94,90,116,103,1
10,2,34,68,55,24,46,108,93,85,104,15,67,0
1,14,31,54,79,17,116,67,68,85,90,8,106,1
14,1,43,68,36,104,8,134,54,85,45,132,70,1
1,14,36,89,79,80,116,67,54,60,90,8,106,1
11,7,42,68,85,45,132,134,95,25,90,46,70,0
7,11,33,75,60,90,46,103,68,55,17,8,108,0
11,7,39,68,79,90,46,67,95,60,17,116,11,1
2,8,32,93,85,90,15,134,68,55,67,116,49,0
8,2,30,45,55,2,8,67,24,85,102,46,106,1
9,6,41,75,55,104,8,134,82,85,67,116,70,0
6,9,40,57,60,102,46,67,75,87,19,116,49,0
9,6,68,95,55,104,8,134,68,85,62,116,70,1
10,1,36,96,85,19,15,67,68,55,80,116,49,1
1,10,39,68,87,17,8,73,82,94,80,116,67,1
10,1,34,16,25,102,116,133,54,55,52,27,67,1
7,12,34,68,79,45,132,134,82,55,19,46,67,0
12,7,27,32,55,52,8,67,68,60,17,46,64,1
12,11,32,68,55,17,116,67,29,25,19,8,102,1
11,12,27,110,25,90,116,67,68,60,52,8,70,0
14,10,44,82,55,80,8,134,32,85,19,116,70,1
10,14,30,96,25,2,15,67,93,55,104,46,134,0
9,8,38,54,25,19,46,67,75,55,80,116,49,0
8,9,37,68,55,121,116,67,54,25,45,132,103,1
2,6,38,68,55,17,46,14,75,60,80,8,49,1
6,2,38,93,55,67,46,103,68,60,19,8,134,0
7,9,33,68,55,90,15,103,93,25,9,116,49,0
9,7,32,68,55,90,116,73,32,25,45,46,49,1
8,1,35,45,41,90,15,134,89,55,80,8,70,1
1,8,41,86,79,80,8,67,45,85,10,116,49,1
8,1,33,68,55,19,116,134,86,25,90,8,67,1
2,7,40,75,85,19,116,49,93,60,90,8,134,1
7,2,48,68,25,104,116,134,75,85,19,46,70,0
1,6,64,89,87,80,8,73,75,60,104,116,134,0
6,1,35,82,25,19,15,67,68,55,17,46,13,1
14,11,30,68,55,121,46,134,45,85,19,27,70,1
11,14,52,29,25,45,46,14,68,55,121,27,49,1
14,11,42,93,55,19,8,134,68,85,102,46,49,1
12,10,28,32,60,19,116,67,68,55,17,8,102,1
10,12,41,16,79,19,116,133,95,87,90,8,103,0
1,11,37,16,79,80,15,49,93,87,19,46,67,0
11,1,41,82,25,19,116,108,68,87,9,97,49,0
1,11,35,68,55,9,46,70,82,25,19,8,134,1
14,7,42,68,36,80,116,70,75,60,19,8,134,1
7,14,33,75,25,19,116,134,82,36,90,46,61,0
2,9,45,68,25,19,116,49,93,85,9,8,134,0
9,2,34,93,55,19,116,49,68,87,104,15,134,1
8,6,45,93,55,102,15,134,68,25,19,8,70,1
6,8,38,68,55,19,46,14,45,25,80,8,103,0
10,7,39,54,25,102,116,75,89,36,104,8,49,1
7,10,32,82,36,90,116,49,68,25,17,8,134,1
10,7,38,96,25,102,116,119,68,55,90,15,134,1
1,12,46,89,36,19,116,49,45,87,52,8,73,1
12,1,34,35,87,90,116,70,68,36,17,97,49,0
8,14,31,89,87,10,132,134,82,55,90,15,49,1
